split,image,review_required,refinement_decision
train,20230614_150814ll.jpg,False,RETAIN
train,20230614_150819ll.jpg,False,RETAIN
train,20230614_150826ll.jpg,False,RETAIN
train,20230614_150831ll.jpg,False,RETAIN
train,20230614_150847ll.jpg,False,RETAIN
train,20230614_150849ll.jpg,False,RETAIN
train,20230614_150920ll.jpg,False,RETAIN
train,20230614_150923ll.jpg,False,RETAIN
train,20230614_150924ll.jpg,False,RETAIN
train,20230614_150927ll.jpg,False,RETAIN
train,20230614_150935ll.jpg,False,RETAIN
train,20230614_150939ll.jpg,False,RETAIN
train,20230614_150941ll.jpg,False,RETAIN
train,20230614_150945ll.jpg,False,RETAIN
train,20230614_150947ll.jpg,False,RETAIN
train,20230614_150948ll.jpg,False,RETAIN
train,20230614_150950ll.jpg,False,RETAIN
train,20230614_150952ll.jpg,False,RETAIN
train,20230614_151016ll.jpg,True,RETAIN - difficult sample reviewed
train,20230614_151211ll.jpg,False,RETAIN
train,20230614_151232ll.jpg,False,RETAIN
train,20230614_151233ll.jpg,False,RETAIN
train,20230614_151235ll.jpg,False,RETAIN
train,20230614_151244ll.jpg,True,RETAIN - difficult sample reviewed
train,20230614_151249ll.jpg,False,RETAIN
train,20230619_182712ll.jpg,False,RETAIN
train,20230620_155828ll.jpg,True,RETAIN - difficult sample reviewed
train,20230620_155840ll.jpg,False,RETAIN
train,20230620_160009ll.jpg,False,RETAIN
train,20230620_160022ll.jpg,True,RETAIN - difficult sample reviewed
train,20230620_160023ll.jpg,False,RETAIN
train,20230620_160033ll.jpg,False,RETAIN
train,20230620_160035ll.jpg,False,RETAIN
train,20230620_160108ll.jpg,False,RETAIN
train,20230620_160111ll.jpg,False,RETAIN
train,20230620_160116ll.jpg,False,RETAIN
train,20230620_160124ll.jpg,False,RETAIN
train,20230620_160125ll.jpg,False,RETAIN
train,20230620_160128ll.jpg,True,RETAIN - difficult sample reviewed
train,20230620_160143ll.jpg,False,RETAIN
train,20230620_160148ll.jpg,False,RETAIN
train,20230620_160205ll.jpg,False,RETAIN
train,20230620_160208ll.jpg,False,RETAIN
train,20230620_160209ll.jpg,False,RETAIN
train,20230620_160210ll.jpg,False,RETAIN
train,20230620_160211ll.jpg,False,RETAIN
train,20230620_160212ll.jpg,False,RETAIN
train,20230620_160214ll.jpg,False,RETAIN
train,20230620_160217ll.jpg,False,RETAIN
train,20230620_160218ll.jpg,False,RETAIN
train,20230620_160221ll.jpg,False,RETAIN
train,20230620_160245ll.jpg,False,RETAIN
train,20230620_160253ll.jpg,False,RETAIN
train,20230620_160300ll.jpg,False,RETAIN
train,20230620_160304ll.jpg,False,RETAIN
train,20230620_160342ll.jpg,False,RETAIN
train,20230620_160345ll.jpg,False,RETAIN
train,20230620_160351ll.jpg,False,RETAIN
train,20230620_160353ll.jpg,False,RETAIN
train,20230620_160402ll.jpg,False,RETAIN
train,20230620_160408ll.jpg,True,RETAIN - difficult sample reviewed
train,20230620_160419ll.jpg,False,RETAIN
train,20230620_160431ll.jpg,False,RETAIN
train,20230620_160435ll.jpg,False,RETAIN
train,20230620_160517ll.jpg,False,RETAIN
train,20230620_160522ll.jpg,True,RETAIN - difficult sample reviewed
train,20230620_160525ll.jpg,False,RETAIN
train,20230620_160930ll.jpg,False,RETAIN
train,20230620_161001ll.jpg,False,RETAIN
train,20230620_161003ll.jpg,False,RETAIN
train,20230620_161019ll.jpg,False,RETAIN
train,20230620_161021ll.jpg,False,RETAIN
train,20230620_161023ll.jpg,False,RETAIN
train,20230620_161026ll.jpg,False,RETAIN
train,20230620_161029ll.jpg,False,RETAIN
train,20230620_161031ll.jpg,False,RETAIN
train,20230620_161043ll.jpg,False,RETAIN
train,20230620_161046ll.jpg,False,RETAIN
train,20230620_161048ll.jpg,False,RETAIN
train,20230620_161052ll.jpg,False,RETAIN
train,20230620_161057ll.jpg,False,RETAIN
train,20230620_161103ll.jpg,False,RETAIN
train,20230620_161110ll.jpg,False,RETAIN
train,20230620_161115ll.jpg,False,RETAIN
train,20230620_161122ll.jpg,False,RETAIN
train,20230620_161129ll.jpg,False,RETAIN
train,20230620_161134ll.jpg,False,RETAIN
train,20230620_161140ll.jpg,False,RETAIN
train,20230620_161145ll.jpg,False,RETAIN
train,20230620_161150ll.jpg,False,RETAIN
val,20230614_150823ll.jpg,False,RETAIN
val,20230614_150932ll.jpg,False,RETAIN
val,20230614_150959ll.jpg,False,RETAIN
val,20230620_160047ll.jpg,False,RETAIN
val,20230620_160054ll.jpg,False,RETAIN
val,20230620_160109ll.jpg,False,RETAIN
val,20230620_160150ll.jpg,False,RETAIN
val,20230620_160222ll.jpg,False,RETAIN
val,20230620_160338ll.jpg,False,RETAIN
val,20230620_160513ll.jpg,False,RETAIN
val,20230620_160530ll.jpg,False,RETAIN
val,20230620_161015ll.jpg,False,RETAIN
val,20230620_161149ll.jpg,False,RETAIN
test,20230614_151238ll.jpg,False,RETAIN
test,20230614_151246ll.jpg,True,RETAIN - difficult sample reviewed
test,20230620_160118ll.jpg,False,RETAIN
test,20230620_160204ll.jpg,False,RETAIN
test,20230620_160215ll.jpg,False,RETAIN
test,20230620_160337ll.jpg,False,RETAIN
test,20230620_160339ll.jpg,False,RETAIN
test,20230620_160454ll.jpg,False,RETAIN
test,20230620_160735ll.jpg,False,RETAIN
test,20230620_160946ll.jpg,False,RETAIN
test,20230620_161050ll.jpg,False,RETAIN
test,20230620_161104ll.jpg,False,RETAIN
